101		
1	40	50
2	25	85
3	22	75
4	22	85
5	20	80
6	20	85
7	18	75
8	15	75
9	15	80
10	10	35
11	10	40
12	8	40
13	8	45
14	5	35
15	5	45
16	2	40
17	0	40
18	0	45
19	44	5
20	42	10
21	42	15
22	40	5
23	40	15
24	38	5
25	38	15
26	35	5
27	95	30
28	95	35
29	92	30
30	90	35
31	88	30
32	88	35
33	87	30
34	85	25
35	85	35
36	67	85
37	65	85
38	65	82
39	62	80
40	60	80
41	60	85
42	58	75
43	55	80
44	55	85
45	55	82
46	20	82
47	18	80
48	2	45
49	42	5
50	42	12
51	72	35
52	55	20
53	25	30
54	20	50
55	55	60
56	30	60
57	50	35
58	30	25
59	15	10
60	10	20
61	15	60
62	45	65
63	65	35
64	65	20
65	45	30
66	35	40
67	41	37
68	64	42
69	40	60
70	31	52
71	35	69
72	65	55
73	63	65
74	2	60
75	20	20
76	5	5
77	60	12
78	23	3
79	8	56
80	6	68
81	47	47
82	49	58
83	27	43
84	37	31
85	57	29
86	63	23
87	21	24
88	12	24
89	24	58
90	67	5
91	37	47
92	49	42
93	53	43
94	61	52
95	57	48
96	56	37
97	55	54
98	4	18
99	26	52
100	26	35
101	31	67
