# instance du sac à dos - 100 objets
# capacite :
1532
# objets = id poids valeur :
1	57	138
2	5	68
3	2	41
4	12	31
5	9	62
6	36	149
7	4	179
8	22	58
9	45	101
10	22	180
11	16	106
12	17	124
13	49	94
14	19	24
15	23	53
16	13	114
17	49	77
18	53	92
19	2	196
20	56	174
21	46	148
22	51	78
23	54	52
24	22	155
25	42	6
26	17	151
27	41	101
28	7	1
29	37	12
30	26	99
31	58	105
32	27	81
33	15	7
34	51	10
35	10	195
36	47	186
37	3	67
38	13	184
39	47	117
40	12	57
41	29	98
42	35	19
43	57	33
44	17	105
45	6	61
46	4	140
47	22	103
48	20	175
49	46	136
50	40	96
51	6	36
52	13	78
53	20	194
54	49	190
55	48	28
56	45	162
57	56	199
58	28	188
59	23	162
60	34	99
61	4	2
62	19	104
63	3	195
64	11	190
65	5	179
66	43	78
67	41	58
68	59	84
69	59	89
70	28	34
71	40	18
72	25	67
73	22	64
74	15	54
75	34	174
76	16	63
77	58	23
78	54	79
79	30	94
80	42	3
81	33	97
82	49	115
83	42	107
84	11	37
85	51	80
86	57	165
87	16	99
88	8	64
89	55	130
90	18	189
91	59	5
92	54	10
93	37	66
94	54	115
95	6	38
96	25	6
97	49	22
98	39	48
99	21	50
100	37	72

